,Artist / Song Info,Label,Plays,WOC,LW,TW,Change,WEEK
,"BILLY MORRISON, OZZY OSBOURNE & STEVE STEVENS / CRACK COCAINE",TLG/ZOID/Virgin,1062,1,1,1,-27,07/02/2024
,SLEEP THEORY / FALLOUT,Epitaph,940,2,2,2,+13,07/02/2024
,FROM ASHES TO NEW / BARELY BREATHING,Better Noise,796,4,3,3,+17,07/02/2024
,FAME ON FIRE / NIGHTMARE (THE DEVIL),Hopeless,778,5,4,4,+36,07/02/2024
,NOTHING MORE / IF IT DOESN'T HURT,Better Noise,778,3,5,5,-68,07/02/2024
,FALLING IN REVERSE & JELLY ROLL / ALL MY LIFE,Epitaph,718,10,6,6,+150,07/02/2024
,FIVE FINGER DEATH PUNCH / THIS IS THE WAY (FT. DMX),Better Noise,691,6,7,7,-28,07/02/2024
,DAUGHTRY / PIECES,Big Machine,632,7,8,8,-18,07/02/2024
,PEARL JAM / WRECKAGE,Republic,625,8,9,9,+28,07/02/2024
,MOTLEY CRUE / DOGS OF WAR,Big Machine,556,9,10,10,-28,07/02/2024
,SHALLOW SIDE / FILTERS,Thermal,544,14,11,11,+58,07/02/2024
,WAGE WAR / MAGNETIC,Fearless/Concord,542,13,12,12,+29,07/02/2024
,STAIND / BETTER DAYS,Alchemy/CO5,526,12,13,13,+13,07/02/2024
,THE OFFSPRING / MAKE IT ALL RIGHT,Concord,503,20,14,14,+97,07/02/2024
,BAD OMENS / V.A.N (FT. POPPY),Sumerian,485,19,15,15,+67,07/02/2024
,IMAGES OF EDEN / HERE COMES THE SUN,Pavement,478,16,16,16,+39,07/02/2024
,ROYALE LYNN / DEATH WISH (FT. DANNY WORSNOP),Epitaph,475,21,17,17,+89,07/02/2024
,BLACK VEIL BRIDES / BLEEDERS,Spinefarm/Land Shark,437,17,18,18,+3,07/02/2024
,DOOR 13 / NOW,Curtain Call,422,24,19,19,+42,07/02/2024
,SET IT OFF / FAKE ASS FRIENDS,Why Worry/Stem,387,22,20,20,+1,07/02/2024
,TIM MONTANA / SAVAGE,Music Knox/BBR/BMG,384,26,21,21,+13,07/02/2024
,ATRIUM / SILENT LUCIDITY,Independent,361,30,22,22,+33,07/02/2024
,FOZZY / ARMY OF ONE,Madison/The Orchard,358,32,23,23,+59,07/02/2024
,BLACKLITE DISTRICT / YOU CAN DO BETTER,AK19,354,35,24,24,+72,07/02/2024
,GRIN CYNIC / LET ME GO,Pavement,353,34,25,25,+61,07/02/2024
,HARDY / ROCKSTAR,Big Loud Rock,344,18,26,26,-87,07/02/2024
,A DAY TO REMEMBER / FEEDBACK,Fueled By Ramen/3eE,343,38,27,27,+73,07/02/2024
,ABOVE SNAKES / RIDE AND DIE,Independent,332,31,28,28,+8,07/02/2024
,GODSMACK / TRUTH,BMG,332,28,29,29,-15,07/02/2024
,FREEMOOR / SHINE,Independent,330,36,30,30,+48,07/02/2024
,METALLICA / SCREAMING SUICIDE,Blackened/Q Prime,324,29,31,31,-20,07/02/2024
,BRING ME THE HORIZON / TOP 10 STATUES THAT CRIED BLOOD,Columbia,320,33,32,32,+28,07/02/2024
,P.O.D. / AFRAID TO DIE,Mascot/MLG,316,27,33,33,-40,07/02/2024
,HALESTORM & I PREVAIL / CAN YOU SEE ME IN THE DARK?,Atlantic,315,45,34,34,+90,07/02/2024
,BLACK STONE CHERRY / WHEN THE PAIN COMES,Mascot/MLG,292,25,35,35,-82,07/02/2024
,INIMICAL DRIVE / VICTIM,In Detail/Land Shark,291,46,36,36,+68,07/02/2024
,PAUL BENJAMAN BAND / MY BAD SIDE WANTS A GOOD TIME,Pasadena,283,15,37,37,-174,07/02/2024
,LINES OF LOYALTY / HURTS TO BE HUMAN,C3&B/CO5,279,37,38,38,+1,07/02/2024
,MOON FEVER / FOREVER SLEEP,Astro/Amplify,256,43,39,39,+16,07/02/2024
,THE WARNING / S!CK,Lava/Republic,248,39,40,40,-13,07/02/2024
,COLDWARDS / THE FIRE INSIDE,Wake Up! Music Rocks,245,42,41,41,+5,07/02/2024
,PALAYE ROYALE / DEAD TO ME,Sumerian,237,44,42,42,+4,07/02/2024
,PLUSH / RUN,Pavement,219,49,43,43,+24,07/02/2024
,LINKIN PARK / FRIENDLY FIRE,Warner,217,47,44,44,-1,07/02/2024
,BEARTOOTH / I WAS ALIVE,Red Bull,216,48,45,45,+3,07/02/2024
,MESSER / THROW IT AWAY,Independent,199,40,46,46,-61,07/02/2024
,NONPOINT / UNDERDOG,361 Degrees,196,52,47,47,+26,07/02/2024
,BLACKLIST UNION / HORNS AND HALOS,BLU,190,54,48,48,+30,07/02/2024
,SUM 41 / LANDMINES,BMG,186,51,49,49,-1,07/02/2024
,THE GHOST INSIDE / WASH IT AWAY,Epitaph,184,41,50,50,-66,07/02/2024
,"BILLY MORRISON, OZZY OSBOURNE & STEVE STEVENS / CRACK COCAINE",TLG/ZOID/Virgin,1004,1,1,1,-58,07/09/2024
,SLEEP THEORY / FALLOUT,Epitaph,968,2,2,2,+28,07/09/2024
,FROM ASHES TO NEW / BARELY BREATHING,Better Noise,794,3,3,3,-2,07/09/2024
,FAME ON FIRE / NIGHTMARE (THE DEVIL),Hopeless,791,4,4,4,+13,07/09/2024
,FALLING IN REVERSE & JELLY ROLL / ALL MY LIFE,Epitaph,757,6,5,5,+39,07/09/2024
,PEARL JAM / WRECKAGE,Republic,658,9,6,6,+33,07/09/2024
,FIVE FINGER DEATH PUNCH / THIS IS THE WAY (FT. DMX),Better Noise,657,7,7,7,-34,07/09/2024
,DAUGHTRY / PIECES,Big Machine,641,8,8,8,+9,07/09/2024
,NOTHING MORE / IF IT DOESN'T HURT,Better Noise,633,5,9,9,-145,07/09/2024
,MOTLEY CRUE / DOGS OF WAR,Big Machine,625,10,10,10,+69,07/09/2024
,SHALLOW SIDE / FILTERS,Thermal,584,11,11,11,+40,07/09/2024
,WAGE WAR / MAGNETIC,Fearless/Concord,574,12,12,12,+32,07/09/2024
,THE OFFSPRING / MAKE IT ALL RIGHT,Concord,558,14,13,13,+55,07/09/2024
,STAIND / BETTER DAYS,Alchemy/CO5,540,13,14,14,+14,07/09/2024
,IMAGES OF EDEN / HERE COMES THE SUN,Pavement,510,16,15,15,+32,07/09/2024
,ROYALE LYNN / DEATH WISH (FT. DANNY WORSNOP),Epitaph,484,17,16,16,+9,07/09/2024
,BAD OMENS / V.A.N (FT. POPPY),Sumerian,455,15,15,17,-30,07/09/2024
,BLACK VEIL BRIDES / BLEEDERS,Spinefarm/Land Shark,430,18,18,18,-7,07/09/2024
,FOZZY / ARMY OF ONE,Madison/The Orchard,418,23,19,19,+60,07/09/2024
,HALESTORM & I PREVAIL / CAN YOU SEE ME IN THE DARK?,Atlantic,409,34,20,20,+94,07/09/2024
,GRIN CYNIC / LET ME GO,Pavement,409,25,21,21,+56,07/09/2024
,BLACKLITE DISTRICT / YOU CAN DO BETTER,AK19,408,24,22,22,+54,07/09/2024
,SET IT OFF / FAKE ASS FRIENDS,Why Worry/Stem,392,20,23,23,+5,07/09/2024
,ATRIUM / SILENT LUCIDITY,Independent,381,22,24,24,+20,07/09/2024
,TIM MONTANA / SAVAGE,Music Knox/BBR/BMG,377,21,25,25,-7,07/09/2024
,FREEMOOR / SHINE,Independent,355,30,26,26,+25,07/09/2024
,A DAY TO REMEMBER / FEEDBACK,Fueled By Ramen/3eE,347,27,27,27,+4,07/09/2024
,BRING ME THE HORIZON / TOP 10 STATUES THAT CRIED BLOOD,Columbia,346,32,28,28,+26,07/09/2024
,INIMICAL DRIVE / VICTIM,In Detail/Land Shark,335,36,29,29,+44,07/09/2024
,ABOVE SNAKES / RIDE AND DIE,Independent,308,28,30,30,-24,07/09/2024
,P.O.D. / AFRAID TO DIE,Mascot/MLG,306,33,31,31,-10,07/09/2024
,MOON FEVER / FOREVER SLEEP,Astro/Amplify,299,12,39,32,+43,07/09/2024
,DOOR 13 / NOW,Curtain Call,292,6,19,33,-130,07/09/2024
,METALLICA / SCREAMING SUICIDE,Blackened/Q Prime,259,19,31,34,-66,07/09/2024
,MYLES KENNEDY / SAY WHAT YOU WILL,Napalm,243,51,35,35,+63,07/09/2024
,COLDWARDS / THE FIRE INSIDE,Wake Up! Music Rocks,242,11,41,36,-3,07/09/2024
,PLUSH / RUN,Pavement,237,5,43,37,+18,07/09/2024
,HARDY / ROCKSTAR,Big Loud Rock,231,19,26,38,-113,07/09/2024
,BLACKLIST UNION / HORNS AND HALOS,BLU,230,2,48,39,+40,07/09/2024
,GODSMACK / TRUTH,BMG,226,21,29,40,-106,07/09/2024
,PALAYE ROYALE / DEAD TO ME,Sumerian,222,6,42,41,-16,07/09/2024
,THE ALMAS / LIFELINE,Wake Up! Music Rocks,219,1,52,42,+44,07/09/2024
,NONPOINT / UNDERDOG,361 Degrees,209,2,47,43,+13,07/09/2024
,BLACK STONE CHERRY / WHEN THE PAIN COMES,Mascot/MLG,205,23,35,44,-87,07/09/2024
,LINES OF LOYALTY / HURTS TO BE HUMAN,C3&B/CO5,196,17,38,45,-83,07/09/2024
,STRIPPING THE PISTOL / HOPE,TLG/ZOID/Virgin,185,1,63,46,+67,07/09/2024
,BEARTOOTH / I WAS ALIVE,Red Bull,183,25,45,47,-33,07/09/2024
,MESSER / FIND OUT,Maddpants/ONErpm/FM,178,1,65,48,+65,07/09/2024
,SUM 41 / LANDMINES,BMG,176,7,49,49,-10,07/09/2024
,LINKIN PARK / FRIENDLY FIRE,Warner,175,20,44,50,-42,07/09/2024
,SLEEP THEORY / FALLOUT,Epitaph,995,2,1,1,+27,07/16/2024
,"BILLY MORRISON, OZZY OSBOURNE & STEVE STEVENS / CRACK COCAINE",TLG/ZOID/Virgin,885,1,2,2,-119,07/16/2024
,FAME ON FIRE / NIGHTMARE (THE DEVIL),Hopeless,797,4,3,3,+6,07/16/2024
,FALLING IN REVERSE & JELLY ROLL / ALL MY LIFE,Epitaph,787,5,4,4,+30,07/16/2024
,FROM ASHES TO NEW / BARELY BREATHING,Better Noise,755,3,5,5,-39,07/16/2024
,DAUGHTRY / PIECES,Big Machine,657,8,6,6,+16,07/16/2024
,MOTLEY CRUE / DOGS OF WAR,Big Machine,653,10,7,7,+28,07/16/2024
,THE OFFSPRING / MAKE IT ALL RIGHT,Concord,644,13,8,8,+86,07/16/2024
,SHALLOW SIDE / FILTERS,Thermal,634,11,9,9,+50,07/16/2024
,PEARL JAM / WRECKAGE,Republic,627,6,10,10,-31,07/16/2024
,WAGE WAR / MAGNETIC,Fearless/Concord,571,12,11,11,-3,07/16/2024
,STAIND / BETTER DAYS,Alchemy/CO5,543,14,12,12,+3,07/16/2024
,GRIN CYNIC / LET ME GO,Pavement,504,21,13,13,+95,07/16/2024
,ROYALE LYNN / DEATH WISH (FT. DANNY WORSNOP),Epitaph,471,16,14,14,-13,07/16/2024
,BAD OMENS / V.A.N (FT. POPPY),Sumerian,467,17,15,15,+12,07/16/2024
,BLACK VEIL BRIDES / BLEEDERS,Spinefarm/Land Shark,465,18,16,16,+35,07/16/2024
,FIVE FINGER DEATH PUNCH / THIS IS THE WAY (FT. DMX),Better Noise,464,7,17,17,-193,07/16/2024
,BLACKLITE DISTRICT / YOU CAN DO BETTER,AK19,463,22,18,18,+55,07/16/2024
,FOZZY / ARMY OF ONE,Madison/The Orchard,453,19,19,19,+35,07/16/2024
,HALESTORM & I PREVAIL / CAN YOU SEE ME IN THE DARK?,Atlantic,449,20,20,20,+40,07/16/2024
,IMAGES OF EDEN / HERE COMES THE SUN,Pavement,434,15,21,21,-76,07/16/2024
,NOTHING MORE / IF IT DOESN'T HURT,Better Noise,431,9,22,22,-202,07/16/2024
,ATRIUM / SILENT LUCIDITY,Independent,420,24,23,23,+39,07/16/2024
,INIMICAL DRIVE / VICTIM,In Detail/Land Shark,417,29,24,24,+82,07/16/2024
,FREEMOOR / SHINE,Independent,405,26,25,25,+50,07/16/2024
,SET IT OFF / FAKE ASS FRIENDS,Why Worry/Stem,402,23,26,26,+10,07/16/2024
,A DAY TO REMEMBER / FEEDBACK,Fueled By Ramen/3eE,377,27,27,27,+30,07/16/2024
,TIM MONTANA / SAVAGE,Music Knox/BBR/BMG,376,25,28,28,-1,07/16/2024
,BRING ME THE HORIZON / TOP 10 STATUES THAT CRIED BLOOD,Columbia,371,28,29,29,+25,07/16/2024
,ABOVE SNAKES / RIDE AND DIE,Independent,300,30,30,30,-8,07/16/2024
,MOON FEVER / FOREVER SLEEP,Astro/Amplify,296,32,31,31,-3,07/16/2024
,MYLES KENNEDY / SAY WHAT YOU WILL,Napalm,290,35,32,32,+47,07/16/2024
,BLACKLIST UNION / HORNS AND HALOS,BLU,286,39,33,33,+56,07/16/2024
,P.O.D. / AFRAID TO DIE,Mascot/MLG,285,31,34,34,-21,07/16/2024
,THE ALMAS / LIFELINE,Wake Up! Music Rocks,272,42,35,35,+53,07/16/2024
,PLUSH / RUN,Pavement,246,37,36,36,+9,07/16/2024
,STRIPPING THE PISTOL / HOPE,TLG/ZOID/Virgin,241,46,37,37,+56,07/16/2024
,COLDWARDS / THE FIRE INSIDE,Wake Up! Music Rocks,232,36,38,38,-10,07/16/2024
,MESSER / FIND OUT,Maddpants/ONErpm/FM,223,48,39,39,+45,07/16/2024
,SEETHER / JUDAS MIND,Concord,211,0,40,40,+211,07/16/2024
,NONPOINT / UNDERDOG,361 Degrees,210,43,41,41,+1,07/16/2024
,KITTIE / WE ARE SHADOWS,Sumerian,190,51,42,42,+17,07/16/2024
,ALL THAT REMAINS / LET YOU GO,Independent,186,56,43,43,+49,07/16/2024
,PALAYE ROYALE / DEAD TO ME,Sumerian,186,41,44,44,-36,07/16/2024
,VENREZ / CROSSED THE LINE,Wake Up! Music Rocks,185,59,45,45,+64,07/16/2024
,THE FUNERAL PORTRAIT / SUFFOCATE CITY,Better Noise,184,60,46,46,+65,07/16/2024
,SUM 41 / LANDMINES,BMG,175,8,49,47,-1,07/16/2024
,METALLICA / SCREAMING SUICIDE,Blackened/Q Prime,170,20,34,48,-89,07/16/2024
,BEARTOOTH / I WAS ALIVE,Red Bull,167,26,47,49,-16,07/16/2024
,BLACK STONE CHERRY / WHEN THE PAIN COMES,Mascot/MLG,161,24,44,50,-44,07/16/2024
1,SLEEP THEORY / FALLOUT,Epitaph,1014,22,1,1,+19,07/23/2024
2,FALLING IN REVERSE & JELLY ROLL / ALL MY LIFE,Epitaph,942,6,4,2,+155,07/23/2024
3,FAME ON FIRE / NIGHTMARE (THE DEVIL),Hopeless,804,21,3,3,+7,07/23/2024
4,FROM ASHES TO NEW / BARELY BREATHING,Better Noise,715,20,5,4,-40,07/23/2024
5,SHALLOW SIDE / FILTERS,Thermal,685,10,9,5,+51,07/23/2024
6,THE OFFSPRING / MAKE IT ALL RIGHT,Concord,673,6,8,6,+29,07/23/2024
7,DAUGHTRY / PIECES,Big Machine,668,17,6,7,+11,07/23/2024
8,MOTLEY CRUE / DOGS OF WAR,Big Machine,660,12,7,8,+7,07/23/2024
9,WAGE WAR / MAGNETIC,Fearless/Concord,612,16,11,9,+41,07/23/2024
10,PEARL JAM / WRECKAGE,Republic,577,12,10,10,-50,07/23/2024
11,BLACKLITE DISTRICT / YOU CAN DO BETTER,AK19,544,7,18,11,+81,07/23/2024
12,STAIND / BETTER DAYS,Alchemy/CO5,529,12,12,12,-14,07/23/2024
13,HALESTORM & I PREVAIL / CAN YOU SEE ME IN THE DARK?,Atlantic,526,5,20,13,+77,07/23/2024
14,ROYALE LYNN / DEATH WISH (FT. DANNY WORSNOP),Epitaph,525,8,14,14,+54,07/23/2024
15,INIMICAL DRIVE / VICTIM,In Detail/Land Shark,515,5,24,15,+98,07/23/2024
16,FOZZY / ARMY OF ONE,Madison/The Orchard,478,7,19,16,+25,07/23/2024
17,BAD OMENS / V.A.N (FT. POPPY),Sumerian,475,8,15,17,+8,07/23/2024
18,ATRIUM / SILENT LUCIDITY,Independent,473,6,23,18,+53,07/23/2024
19,BRING ME THE HORIZON / TOP 10 STATUES THAT CRIED BLOOD,Columbia,465,6,29,19,+94,07/23/2024
20,BLACK VEIL BRIDES / BLEEDERS,Spinefarm/Land Shark,461,11,16,20,-4,07/23/2024
21,SEETHER / JUDAS MIND,Concord,438,2,40,21,+212,07/23/2024
22,SET IT OFF / FAKE ASS FRIENDS,Why Worry/Stem,431,19,26,22,+29,07/23/2024
23,FIVE FINGER DEATH PUNCH / THIS IS THE WAY (FT. DMX),Better Noise,412,15,17,23,-52,07/23/2024
24,A DAY TO REMEMBER / FEEDBACK,Fueled By Ramen/3eE,402,5,27,24,+25,07/23/2024
25,TIM MONTANA / SAVAGE,Music Knox/BBR/BMG,401,10,28,25,+25,07/23/2024
26,IMAGES OF EDEN / HERE COMES THE SUN,Pavement,396,10,21,26,-38,07/23/2024
27,GRIN CYNIC / LET ME GO,Pavement,385,7,13,27,-119,07/23/2024
28,"BILLY MORRISON, OZZY OSBOURNE & STEVE STEVENS / CRACK COCAINE",TLG/ZOID/Virgin,367,17,2,28,-518,07/23/2024
29,MYLES KENNEDY / SAY WHAT YOU WILL,Napalm,329,3,32,29,+39,07/23/2024
30,P.O.D. / AFRAID TO DIE,Mascot/MLG,323,17,34,30,+38,07/23/2024
31,BLACKLIST UNION / HORNS AND HALOS,BLU,322,4,33,31,+36,07/23/2024
32,THE ALMAS / LIFELINE,Wake Up! Music Rocks,316,3,35,32,+44,07/23/2024
33,FREEMOOR / SHINE,Independent,312,8,25,33,-93,07/23/2024
34,STRIPPING THE PISTOL / HOPE,TLG/ZOID/Virgin,301,3,37,34,+60,07/23/2024
35,NOTHING MORE / IF IT DOESN'T HURT,Better Noise,297,24,22,35,-134,07/23/2024
36,MOON FEVER / FOREVER SLEEP,Astro/Amplify,282,14,31,36,-14,07/23/2024
37,MESSER / FIND OUT,Maddpants/ONErpm/FM,279,3,39,37,+56,07/23/2024
38,ABOVE SNAKES / RIDE AND DIE,Independent,266,10,30,38,-34,07/23/2024
39,COLDWARDS / THE FIRE INSIDE,Wake Up! Music Rocks,259,13,38,39,+27,07/23/2024
40,THE FUNERAL PORTRAIT / SUFFOCATE CITY,Better Noise,241,7,36,40,+57,07/23/2024
41,PLUSH / RUN,Pavement,237,2,45,41,-9,07/23/2024
42,VENREZ / CROSSED THE LINE,Wake Up! Music Rocks,231,4,41,42,+46,07/23/2024
43,NONPOINT / UNDERDOG,361 Degrees,218,2,42,43,+8,07/23/2024
44,KITTIE / WE ARE SHADOWS,Sumerian,210,2,43,44,+20,07/23/2024
45,ALL THAT REMAINS / LET YOU GO,Independent,193,2,45,45,+7,07/23/2024
46,PALAYE ROYALE / DEAD TO ME,Sumerian,190,8,44,46,+4,07/23/2024
47,DIRTY HONEY / DON'T PUT OUT THE FIRE,Dirt,178,1,66,47,+74,07/23/2024
48,NEW DILEMMA / RUN AND HIDE,Pavement,171,1,64,48,+53,07/23/2024
49,BEARTOOTH / I WAS ALIVE,Red Bull,155,27,49,49,-12,07/23/2024
50,HARDY / PSYCHO,Big Loud Rock/Big Loud,154,1,80,50,+75,07/23/2024
1,SLEEP THEORY / FALLOUT,Epitaph,1037,23,1,1,+23,07/30/2024
2,FALLING IN REVERSE & JELLY ROLL / ALL MY LIFE,Epitaph,959,7,2,2,+17,07/30/2024
3,FAME ON FIRE / NIGHTMARE (THE DEVIL),Hopeless,774,22,3,3,-30,07/30/2024
4,FROM ASHES TO NEW / BARELY BREATHING,Better Noise,721,21,4,4,+6,07/30/2024
5,SHALLOW SIDE / FILTERS,Thermal,710,11,5,5,+25,07/30/2024
6,DAUGHTRY / PIECES,Big Machine,699,18,7,6,+31,07/30/2024
7,THE OFFSPRING / MAKE IT ALL RIGHT,Concord,675,7,6,7,+2,07/30/2024
8,WAGE WAR / MAGNETIC,Fearless/Concord,609,17,9,8,-3,07/30/2024
9,MOTLEY CRUE / DOGS OF WAR,Big Machine,600,13,8,9,-60,07/30/2024
10,ROYALE LYNN / DEATH WISH (FT. DANNY WORSNOP),Epitaph,573,9,14,10,+48,07/30/2024
11,STAIND / BETTER DAYS,Alchemy/CO5,553,13,12,11,+24,07/30/2024
12,PEARL JAM / WRECKAGE,Republic,553,13,10,12,-24,07/30/2024
13,HALESTORM & I PREVAIL / CAN YOU SEE ME IN THE DARK?,Atlantic,539,6,13,13,+13,07/30/2024
14,FOZZY / ARMY OF ONE,Madison/The Orchard,521,8,16,14,+43,07/30/2024
15,SEETHER / JUDAS MIND,Concord,516,3,21,15,+78,07/30/2024
16,BRING ME THE HORIZON / TOP 10 STATUES THAT CRIED BLOOD,Columbia,510,7,19,16,+45,07/30/2024
